epoch,train_loss,validation_loss,validation_pooled_mae,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,16.702561494335043,3.271900792541128,3.739956254507961,3.8442043350501347,202.53003230004106,23.39944209996611,0.001
2,3.0735555745257552,2.9765188286514093,3.442661284840657,3.603491528187029,265.02394189999904,7.955718999961391,0.001
3,2.907511324330248,2.84099904583267,3.3024027473224917,3.4766818069796055,232.57799140003044,30.15750680002384,0.001
4,2.8525310186534028,2.8022508285655454,3.26094264840839,3.456236718177528,296.66340309998486,17.420114199980162,0.001
5,2.848218405018658,2.7885119276912103,3.2466243419698713,3.4463749382956212,67.6472889999859,5.920959300012328,0.001
6,2.82597319815513,2.8309600888066537,3.292778494828519,3.50714594257816,23.622696300037205,2.0791038000024855,0.001
7,2.802361727150858,2.780003700531737,3.236952869891281,3.428675955047067,24.572700499906205,4.182590699987486,0.001
8,2.800386387194197,2.814440608430404,3.2724065216428055,3.4824807954574934,33.31789450009819,4.245214100112207,0.001
9,2.7765482222335747,2.848461403870809,3.3116751435861187,3.5185146842028225,23.633410400012508,5.761420299997553,0.001
10,2.786274039158599,2.7834788509791606,3.2412265135461364,3.439054627071995,33.63576790003572,3.894091199967079,0.001
11,2.749949150251197,2.765622814211827,3.2224547062307503,3.3988019853493148,25.272317999973893,4.284450400038622,0.001
12,2.7511211691867943,2.84984207645886,3.3091085806518725,3.4849498003997184,26.91734990000259,4.259437299915589,0.001
13,2.7570848027336976,2.948438104154191,3.4106738170780955,3.6010961655598654,26.729199700057507,3.835526500013657,0.001
14,2.734214595434212,2.9613567334495388,3.4247091628951303,3.5819366549495917,25.4694363999879,3.855746400076896,0.001
15,2.757840844170097,2.877763594130225,3.3385331721103784,3.5021414869617016,29.394386900006793,3.5218639000086114,0.001
16,2.724120948149964,2.8175622985066067,3.274230085525844,3.455862129884616,24.08783079998102,4.288988400017843,0.001
17,2.7101297116687006,2.8637412746602737,3.3252093286801987,3.5235653741872874,28.216272699995898,4.4504046000074595,0.001
18,2.7193571698392276,2.8302021181937436,3.2892006436260757,3.4623379022450362,23.67880650004372,4.177523199934512,0.001
19,2.697555748535731,2.826903319607907,3.2867803255679644,3.4748433327845083,23.40332269994542,2.0431933000218123,0.001
