epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,19.28133902635403,6.820373071248941,7.3019844885372835,9.94862341221285,8.427825762262575,16.648678999999902,1.988589999999931,0.001
2,4.752533581985667,3.0736402381906376,3.533424338483939,4.9144047440034715,3.756509260993142,17.358407500000112,2.51240329999996,0.001
3,3.236778285546217,2.7832417307024286,3.2411647326006747,4.530476845420071,3.4868114385336875,21.02653220000002,2.2807405000000927,0.001
4,3.0461879986993794,2.8818121749563583,3.3443961245924925,4.598378330122912,3.5308860180408765,17.09497230000011,2.3082808999999997,0.001
5,2.985401395207446,2.732392542238232,3.189371267525379,4.442052319529276,3.4049201170782464,16.84043560000009,2.3527263000000858,0.001
6,2.9253222976128552,2.708570855872034,3.16387195902848,4.406174906895591,3.376397015802611,14.945714800000133,1.854778799999849,0.001
7,2.9403219260559372,2.7595340149939123,3.2168209349301686,4.460714227723319,3.3972902958249573,14.759748400000035,2.122159899999815,0.001
8,2.9297078786356634,2.729702949663859,3.1861161914757825,4.433408620887621,3.4158904644758628,18.32952350000005,2.326480599999968,0.001
9,2.930967412183663,2.7145653352559433,3.169917303766635,4.421318223298846,3.3761685913501993,15.365894400000116,1.794033100000206,0.001
10,2.9371688529594424,2.7063956507243856,3.1611095570191377,4.410148479872342,3.3861101695064693,17.55851920000009,2.2129201999998713,0.001
11,2.8653428926004083,2.734670476127586,3.190074816319931,4.45541560440052,3.3825764767609017,15.784722399999964,1.58207329999982,0.001
12,2.8827732290301653,2.773591770422208,3.2348749196813453,4.442416239936277,3.468210122706852,19.247255300000006,1.722574499999837,0.001
13,2.877994398237128,2.714905462042241,3.171231059040706,4.417770373294075,3.383566306019965,14.464695699999993,1.9927769999999327,0.001
14,2.8632813836912945,2.875170797204059,3.338794862850407,4.553704076269222,3.564504287402666,15.124560400000064,2.074219800000037,0.001
15,2.8787318760345535,2.714252614795861,3.1701520896738775,4.40869023155393,3.372217631785476,15.361172299999907,2.193658300000152,0.001
16,2.8805221041153866,2.7190052005435565,3.1759384170722087,4.433087781342012,3.386925212776573,15.212803299999905,1.785028999999895,0.001
17,2.8649351352877175,2.720551567859025,3.1768508167358642,4.43269841423605,3.3975056153259025,14.753239599999915,2.171709700000065,0.001
18,2.877842519522514,2.755592478904272,3.212014556196965,4.438503850627433,3.454906256359503,13.855778299999884,1.9439861000000747,0.001
19,2.8619580891248306,2.766897628083169,3.227813573493156,4.4448893352715375,3.4543342597822986,17.15046050000001,3.2649235999999746,0.001
20,2.863638841801183,2.7193234816223315,3.1756766020712934,4.428410936301897,3.3887232761307677,17.26815889999989,1.8207998999998836,0.001
21,2.8512544161249327,2.7431750341485484,3.2004155512636348,4.459068538376389,3.4157898154805153,14.415981099999954,1.9778848000000835,0.001
22,2.8589994430681274,2.705280713848083,3.1620492376566407,4.403537781146536,3.3973066408950547,14.936054199999944,2.1620106000000305,0.001
23,2.825582974911502,2.7449746895933504,3.2009716397762467,4.4478236204151775,3.4385971909300355,14.497672499999908,1.9011140999998588,0.001
