epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,20.024745258282827,6.820642764390054,7.298534224494857,10.106609904101237,8.527125299786311,14.083131500000036,1.4940666999998484,0.001
2,4.509126656348294,2.8622173954587207,3.322320320947949,4.57264385313218,3.549687251638018,12.851768199999924,2.256938999999875,0.001
3,3.029022593154896,2.828617972826115,3.2897483792323463,4.53568195238314,3.4904090409182285,15.550596099999893,2.109732299999905,0.001
4,2.9844564647278995,2.773265337605392,3.229920782216181,4.468257662353324,3.4341706782740173,16.27461019999987,2.4194628000000193,0.001
5,2.946484761149653,2.7654337690447206,3.222380281012444,4.4741788570519265,3.438658291063997,18.418693000000076,2.2645693000001756,0.001
6,2.9344882818422335,2.766617425773496,3.224287605576706,4.453899996295563,3.4164362596278215,17.28882550000003,2.2398940000000493,0.001
7,2.926872864879621,2.7430874068827427,3.199465619886631,4.449061836365667,3.3986985507549625,15.031281300000046,2.44312089999994,0.001
8,2.88562061548825,2.798334738866504,3.25507935605596,4.509885138362875,3.422158962040822,16.623240900000155,1.6553782999999385,0.001
9,2.9020395503246785,2.760332107208105,3.2154710705619785,4.469778846915069,3.4067997514004347,12.395889300000135,1.5849885999998605,0.001
10,2.876520322412753,2.7958989544700663,3.2519989430113765,4.50796277181017,3.451340674420221,12.73661930000003,1.5607654000000366,0.001
11,2.8913339333027945,2.7914505819575246,3.2519369390679995,4.490894380803835,3.4180161625815533,13.140803499999947,2.137792700000091,0.001
12,2.882232646745749,2.809207443088863,3.266000119323587,4.520915369061417,3.4483375467544928,13.611891000000014,1.5948964000001524,0.001
13,2.8863745366602513,2.7629510311890635,3.2186265259872706,4.464778839803808,3.415771957886517,13.109116600000107,1.8585840000000644,0.001
14,2.862764128451976,2.757517393632511,3.21530464202365,4.464269005729415,3.408955352407359,15.296367800000098,2.09417540000004,0.001
15,2.867793277860541,2.756713875387599,3.21383903143845,4.459486575309278,3.38842355934843,17.327484599999934,1.6439101999999366,0.001
16,2.8541085629179754,2.792518327012002,3.2499135540522155,4.503579197168457,3.4521848883595276,15.568547700000181,1.8587561999997888,0.001
17,2.882378981188995,2.7467159908664995,3.2024287660296276,4.4577953304482625,3.3932209580952195,11.994323700000223,1.7617362999999386,0.001
18,2.852176491904645,2.743275887362483,3.199507569690198,4.444625929231811,3.424639216860427,16.437706400000025,2.2236822999998367,0.001
19,2.8725429948723473,2.7660958090219183,3.22267826970075,4.4741338240428,3.400381514015595,16.741928400000234,2.018626900000072,0.001
20,2.840912664777539,2.766652941689803,3.2244360627444055,4.466691358566669,3.4355812430841346,17.16221889999997,2.3077892000001157,0.001
21,2.863653137632682,2.7973737662380636,3.2559304365544746,4.485081780474414,3.4512440116029492,15.559925800000201,2.496791099999882,0.001
22,2.84603413364148,2.7876886816032616,3.2452908338046798,4.4677546151118435,3.4299566538303177,14.685571999999866,1.6516303000003063,0.001
23,2.83875862268944,2.769766100164674,3.2272653817039014,4.470634919725582,3.4289395085931718,113.09987920000003,4.8205643999999666,0.001
