seed,normalized_temporal_entropy,mean_maximum_time_weight,proportion_t0_over_0_5,proportion_t0_over_0_75,proportion_t0_over_0_9
7,0.4500757506861132,0.6988060474395752,0.9491724380795868,0.29856790703134173,0.02705716633407677
21,0.313087488386269,0.859156608581543,0.9875572250264115,0.8753961732597723,0.41501349923699965
42,0.32917396496072654,0.8456329703330994,1.0,0.8937081817114685,0.28031459091442656
84,0.32137828719386347,0.8574889898300171,0.9988848456391596,0.876746096959737,0.3572015494776382
123,0.34051421685433336,0.8536188006401062,0.9993543843174082,0.8655358610165512,0.3691747857729781
