first_seed,second_seed,spearman_rank_correlation,cosine_similarity
7,21,0.6,0.999915725301087
7,42,0.6,0.9501095668422811
7,84,0.3714285714285715,0.9985878047157509
7,123,0.2,0.9990110361975387
21,42,0.8285714285714287,0.947281862247737
21,84,0.7714285714285715,0.9989005152493857
21,123,0.48571428571428577,0.9994374130278281
42,84,0.4285714285714286,0.9454166740304755
42,123,0.08571428571428573,0.938440765546143
84,123,0.8285714285714287,0.9989933018656727
