epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,19.295349144270528,6.46691921868645,6.946801997781542,9.645104408653156,8.134999134044438,32.85122440000032,3.4948936999999205,0.001
2,3.9154931113617915,2.950263306097968,3.4177396615103723,4.6724251133282895,3.6207816752332653,36.34686030000012,3.741845800000192,0.001
3,3.05921805530669,2.7998528162321166,3.2578589668547075,4.542562803726602,3.4609880618618543,29.252070699999877,4.680424300000141,0.001
4,2.9948671568879877,2.7851471577973586,3.2387228797951106,4.545433007231287,3.4521207724792506,32.506980999999996,6.294977899999594,0.001
5,2.9762197581698326,2.729400803189502,3.1819388535901796,4.468220467621911,3.4020693425913735,40.761196100000234,4.697388799999771,0.001
6,2.951312807819104,2.753459331476852,3.2092256280706724,4.5001008323544,3.4131095336883037,23.149385100000018,2.8392212999997355,0.001
7,2.947694899403163,2.7408296048522263,3.194918005493608,4.489524395722328,3.4246226604769094,21.624329600000237,3.302382200000011,0.001
8,2.9448642620400336,2.740153470472042,3.1939699482170543,4.486474747238367,3.414392124681031,27.657098399999995,3.9271217000000433,0.001
9,2.9245540593546884,2.7452539076952323,3.2014553215823023,4.483354480881172,3.4415162016040624,26.13102149999986,3.2953985999997712,0.001
10,2.9124595680462457,2.743621139182691,3.199494947694755,4.4783120240169705,3.4035107896340815,26.284534399999757,3.9862404000000424,0.001
11,2.8986039228190013,2.749556510097783,3.2074473788864473,4.499986155873634,3.424328224198846,27.071247900000344,4.8413016999998035,0.001
12,2.923587764348882,2.7067342573018793,3.159046001817184,4.4548352994422435,3.379009849511069,25.32118229999969,2.9425430000001143,0.001
13,2.922664220827208,2.7441794607529886,3.1989754669990096,4.4666620248072,3.4270949963595863,22.647422800000186,2.535692899999958,0.001
14,2.8930357339696604,2.7133794490797642,3.1660743342387394,4.446129903563103,3.3905333614366384,22.55782339999996,3.1497597000002315,0.001
15,2.9201661938522023,2.7314140789384838,3.1861774692206275,4.450259083260769,3.41782271900056,28.29775430000018,7.5992559000001165,0.001
16,2.883752678202176,2.774288901365871,3.2310380455417413,4.509986719413814,3.434960805625533,34.88711920000014,3.1037020999997367,0.001
17,2.892520508042596,2.9655264791069293,3.433133713137531,4.686182729642945,3.6204618616328172,20.247650299999805,3.144225500000175,0.001
18,2.8960773929533548,2.7354791102547615,3.191045731890298,4.455783159948444,3.4464899485403278,35.889995,3.6804423000003226,0.001
19,2.907431710959003,2.7402415921506447,3.1951164267323136,4.472763438618245,3.44181424116211,22.850839899999755,2.3686579000000165,0.001
20,2.890097829020074,2.7386242199817277,3.1955335134351066,4.452514648012458,3.4281983952350217,20.02225300000009,3.9141053999996984,0.001
