seed,split,runtime_seconds,device,model_parameter_count,best_epoch,completed_epochs,early_stopping_epoch,best_validation_patient_mae,pooled_mae,pooled_rmse,r_squared,patient_mean_mae,patient_median_mae,patient_mean_rmse,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,high_bis_validation_selected_threshold,high_bis_f1,high_bis_sensitivity,high_bis_specificity,low_bis_validation_selected_threshold,low_bis_f1,low_bis_sensitivity,low_bis_specificity,prediction_mean,prediction_standard_deviation,prediction_minimum,prediction_maximum,observed_predicted_pearson_correlation
7,val,210.0541095,cpu,30337,5,13,13,3.3684305793514238,3.1817881854677785,4.4099117652445505,0.8128842885564568,3.3684306257255643,3.3505065919778696,4.661200422000644,3.058944745519713,3.0424196527763727,4.805376728328174,0.8296357163724972,0.9798787662029455,0.8893951848674546,0.9293880824414745,58.04856872558594,0.7825409197194076,0.7770897832817337,0.9828527880096533,-39.93375778198242,0.8056597340606887,0.8066222904932583,0.8973969049109938,43.169433109989434,9.555402044861204,16.868332,84.97887,0.9024979546434285
7,test,210.0541095,cpu,30337,5,13,13,3.3684305793514238,3.170292767285983,4.367474103721527,0.8163333098467198,3.293173703362169,3.3186790515021456,4.4856605210395735,2.897731014383263,3.228041976545131,4.371825680248007,0.8744644933037687,0.9859937232361362,0.8816783145122826,0.9080831463455319,58.04856872558594,0.7998292787025181,0.8299379982285208,0.9825555765476416,-39.93375778198242,0.7904425034288601,0.7954380357402295,0.8523456790123457,42.68409284783631,9.66898959490792,15.185416,85.102615,0.9046789734359695
21,val,255.187175,cpu,30337,8,16,16,3.3770641437482385,3.1777604165981925,4.41539233176441,0.8124189108366675,3.3770641696220296,3.359781336099585,4.676855809254855,3.136892869772999,3.0035736948518257,4.696047626160991,0.8243309278858194,0.9792970665506874,0.8888264926506005,0.9296953906561783,56.971675872802734,0.773598820058997,0.8119195046439629,0.9764384605614124,-40.24681854248047,0.8072987721691678,0.8079877112135176,0.8984703461848108,43.363641491607,9.378052319715753,18.40536,87.380646,0.9015306087446231
21,test,255.187175,cpu,30337,8,16,16,3.3770641437482385,3.1440315818438385,4.335914305079336,0.8189781066513157,3.272591677505694,3.272106217811159,4.471004634053003,2.939307175795438,3.153723823477101,4.3149143817537645,0.8768718630113952,0.9859702953988119,0.8808850520887773,0.9087071779998314,56.971675872802734,0.8027995059695349,0.8635961027457927,0.9795327161660055,-40.24681854248047,0.7906441165887009,0.7980531744878686,0.8499753086419753,42.94210740451552,9.526768556330653,16.756205,87.640854,0.905533521720649
42,val,173.070384,cpu,30337,10,18,18,3.3865682073308063,3.205640497534922,4.463544894237956,0.8083052276281153,3.386568205232208,3.1978058205128206,4.701216830214276,2.9228022933947777,3.144504977040558,4.956101743034056,0.8233386500570506,0.9790434270200423,0.8886503114730216,0.9301034275049493,57.51201629638672,0.7760031164783794,0.7708978328173375,0.9822812142766417,-40.115020751953125,0.8102075982604414,0.8426352619901007,0.8755702656767153,42.89672915207184,9.365691265607579,19.689363,86.689026,0.9004668782169861
42,test,173.070384,cpu,30337,10,18,18,3.3865682073308063,3.174414620413923,4.3704286272718615,0.8160847308765412,3.293206405649386,3.361020431330472,4.499126305177183,2.7291128218799945,3.3558656535126725,4.443394944198406,0.8741609430215174,0.9860819123094933,0.8800339023445312,0.908343497936408,57.51201629638672,0.8037622915775973,0.8325952170062002,0.9829964103532968,-40.115020751953125,0.7894772711783548,0.8414935347958739,0.8026666666666666,42.35723639604892,9.579806879551946,18.341997,87.25174,0.9051633483761915
84,val,101.427268,cpu,30337,5,13,13,3.372770533752329,3.202264775560512,4.440404997247941,0.8102876426668717,3.3727705753533224,3.326686423076923,4.669215512463149,3.125690583888036,3.0139013342773335,4.9909625565015485,0.8290599034364865,0.9789101188016103,0.8874071969954621,0.9286901578208147,57.931297302246094,0.7803330689928628,0.7616099071207431,0.9843769846310174,-40.50136947631836,0.8044943820224718,0.8248847926267281,0.8816530995616781,43.283392527409326,9.32558090751004,19.32538,84.23631,0.9003205186717144
84,test,101.427268,cpu,30337,5,13,13,3.372770533752329,3.2191594910630292,4.385295722707376,0.8148313359503319,3.321327704124786,3.3193999817596564,4.487763716839838,3.0389961728897283,3.176712246665184,4.655757834366696,0.8745509606996407,0.9853376322299211,0.8784072778568037,0.9060464590698499,57.931297302246094,0.7942053685556029,0.8255093002657219,0.9819887902260848,-40.50136947631836,0.7847461198117845,0.811710010169984,0.825283950617284,42.99743290475071,9.49195273089623,17.97024,85.10186,0.9032946237520131
123,val,254.3818757,cpu,30337,5,13,13,3.37751988745333,3.1954450043432328,4.428516406096526,0.8113021417366958,3.3775199000232106,3.334924370677731,4.6751524785879015,3.2110865495818404,2.9761486708809546,4.802673359907121,0.8278151950647896,0.9793820063004847,0.8874647035500062,0.928622163130126,57.78192901611328,0.7786666666666666,0.7910216718266254,0.9802489521148228,-40.30879592895508,0.8041502315211798,0.8003072196620584,0.9003488684139905,43.50845480619791,9.335595183821633,18.945173,85.7015,0.9009392358268307
123,test,254.3818757,cpu,30337,5,13,13,3.37751988745333,3.234475710253998,4.413411104907623,0.812449386385879,3.3387908870253966,3.3680806309012876,4.518533350241321,3.0663678105477263,3.2158760206758563,4.4075576244464125,0.8704715383938234,0.985212795325321,0.8794283055194557,0.9072444437269853,57.78192901611328,0.8,0.8467670504871567,0.9807922413250205,-40.30879592895508,0.7837332950136515,0.7923870405346506,0.8438518518518519,43.00354973189088,9.571234407274876,17.762974,85.70666,0.9023032495777995
