epoch,train_loss,validation_loss,validation_pooled_mae,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,19.685331216282577,3.371495583734961,3.837297141349068,3.9944796442566757,9.379070500000125,1.5961949000000004,0.001
2,3.175665971430894,2.9170511724355843,3.380556895903878,3.5354611958347055,12.414784099999906,2.345658500000127,0.001
3,2.8803246107974747,2.809613313203631,3.271821768382637,3.4594806915038734,10.749065900000005,1.471202799999901,0.001
4,2.8549284300909297,2.8718490684825864,3.33462917750144,3.4826282093186625,9.197572400000126,1.7618735000000925,0.001
5,2.822998543239709,2.805392831154644,3.2669169386447154,3.452549821072048,14.474464099999977,1.8640909000000647,0.001
6,2.818807099546954,2.79911763803236,3.2584263385916445,3.4456583906386213,13.017901100000017,3.6487878999998884,0.001
7,2.815825312103131,2.8532840742977004,3.311926740535983,3.5135537882044363,13.746355900000026,2.2191963000000214,0.001
8,2.7903666196747627,2.800037608402466,3.258382923852979,3.4346290175350953,18.13918539999986,1.343645499999866,0.001
9,2.7799976414618777,2.8142382674604,3.2732236172366775,3.4542593655403175,10.449610500000063,1.2373594000000594,0.001
10,2.7617888195455134,2.940593739716796,3.400893563661151,3.597791114929363,8.534080700000004,1.537029500000017,0.001
11,2.7675150478915156,2.8463780299530494,3.3089989284797934,3.4772524718183178,8.660528299999896,1.4615292999999383,0.001
12,2.7493364023086326,2.8291434707713248,3.2895125103522975,3.483614711960858,9.139044700000113,1.478048299999955,0.001
13,2.7506981842915157,2.8653322101856764,3.3260603252186547,3.517597734137851,10.062587599999915,2.0749267000001055,0.001
14,2.7170607671713993,2.8581713296281492,3.319661814137403,3.510588733245123,10.539521700000023,1.3792117000000417,0.001
15,2.723560046272172,2.823519239964123,3.2838188354531592,3.4820477342864344,8.182041600000048,1.1903462999998737,0.001
16,2.705345301623238,2.882507859044322,3.344932131426395,3.52931853724793,8.323569599999928,1.3587422999999035,0.001
