model,seed,feature,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,7,ppf_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.217714626053883,3.4212911128997803,4.470972140303618,3.1500680446624756,3.096240758895874,4.454056739807129,0.024453930094119336,0.04019975662231445,0.03637378107917133,0.049852609634399414,0.03347015380859375,-0.15972089767456055,13.0
gru,7,ppf_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.5454364731384844,3.722168207168579,4.769592270944561,3.254469871520996,3.568448543548584,4.688820838928223,0.35217577717872084,0.3410768508911133,0.3349939117201144,0.15425443649291992,0.5056779384613037,0.0750432014465332,3.0
gru,7,rftn_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.1954147065941023,3.38249135017395,4.434692558273664,3.0767903327941895,3.075544595718384,4.650660514831543,0.002154010634338732,0.001399993896484375,9.419904921692535e-05,-0.02342510223388672,0.012773990631103516,0.036882877349853516,17.0
gru,7,rftn_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2346692765342584,3.420898914337158,4.485537695268775,3.205970525741577,3.116950750350952,4.265649795532227,0.04140858057449481,0.03980755805969238,0.05093933604432799,0.10575509071350098,0.054180145263671875,-0.3481278419494629,14.0
gru,7,rftn_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.294723945767237,3.5178987979888916,4.5316752700264225,3.0323221683502197,3.238325595855713,4.916260719299316,0.10146324980747323,0.13680744171142578,0.09707691080197556,-0.06789326667785645,0.17555499076843262,0.30248308181762695,8.0
gru,7,rftn_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.4922820101434713,3.7327940464019775,4.680775993236805,3.8775382041931152,3.176523208618164,4.161547660827637,0.2990213141837077,0.3517026901245117,0.24617763401235848,0.7773227691650391,0.11375260353088379,-0.45222997665405273,2.0
gru,7,bis_slope,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.345169831419344,3.5442354679107666,4.5931250589503225,3.062802791595459,3.306527614593506,4.9213666915893555,0.1519091354595803,0.16314411163330078,0.15852669972587563,-0.03741264343261719,0.24375700950622559,0.307589054107666,6.0
attention,7,bis,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,41.62951031799173,41.75333786010742,42.76715613673671,50.782493591308594,39.03081130981445,20.0087947845459,38.45935822831785,38.38111996650696,38.35846590518278,47.76519060134888,35.954850912094116,15.424699783325195,1.0
attention,7,bis_sqi,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.170235084303529,3.3722188472747803,4.407601154772416,3.016935110092163,3.075270891189575,4.592137336730957,8.2994629651445e-05,9.5367431640625e-07,-0.0010890767815139313,-0.00036787986755371094,-0.0006895065307617188,0.008042335510253906,15.0
attention,7,hr,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1703023670956427,3.3723912239074707,4.408056736904023,3.017012357711792,3.075437545776367,4.591397285461426,0.0001502774217652103,0.00017333030700683594,-0.0006334946499064742,-0.0002906322479248047,-0.0005228519439697266,0.007302284240722656,9.0
