model,seed,group,member_features,repetition,permutation,all_multiwindow_patient_shifts_nonzero,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,seed_group_mean_delta_patient_mae,seed_group_sample_sd_delta_patient_mae,seed_group_minimum_delta_patient_mae,seed_group_maximum_delta_patient_mae,contribution_rank
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.09070805969309914,0.10746979713439941,0.09205180716425065,0.17536664009094238,0.04218482971191406,0.07811832427978516,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.08609629231504545,0.11031770706176758,0.09248034756330092,0.18510890007019043,0.029906749725341797,0.06708145141601562,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.08176302615990849,0.10602855682373047,0.081677017967551,0.1526331901550293,0.038797855377197266,0.08916902542114258,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.09289027452608822,0.07724881172180176,0.10637329999627454,0.1752026081085205,0.04752969741821289,0.06673765182495117,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.0814927895173514,0.11057496070861816,0.088163581322525,0.1477034091949463,0.04227757453918457,0.08133268356323242,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.10288157285638144,0.13907098770141602,0.11564061793654012,0.20747137069702148,0.04337739944458008,0.0839390754699707,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.08791734310561639,0.11275649070739746,0.09732992950312891,0.16269516944885254,0.04700207710266113,0.061916351318359375,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.07764824232398526,0.10137391090393066,0.08096058006231566,0.16023921966552734,0.0431210994720459,-0.032670021057128906,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.02801781314151741,0.056592702865600586,0.029831108031111775,0.05419516563415527,0.013069868087768555,0.02369832992553711,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.03212661040138487,0.06450891494750977,0.04136659248006769,0.04734444618225098,0.0033020973205566406,0.18369579315185547,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
