model,seed,group,member_features,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,7,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,7.523118550067413,8.646726608276367,9.997899178493292,9.940028190612793,4.241095542907715,21.678447723388672,4.329857854107649,5.265635251998901,5.563300819268845,6.839812755584717,1.1783249378204346,17.064670085906982,1.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.483923373024765,3.661036968231201,4.713945522577825,3.059995174407959,3.532383918762207,5.035524368286133,0.2906626770650016,0.27994561195373535,0.2793471633533784,-0.04022026062011719,0.46961331367492676,0.42174673080444336,4.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,5.100476633706189,5.395157814025879,6.371189380371511,5.44810152053833,4.894758224487305,5.098310947418213,1.9072159377464257,2.014066457748413,1.9365910211470645,2.347886085510254,1.8319876194000244,0.48453330993652344,2.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.290069034225799,3.4818851947784424,4.541699659433978,3.3973231315612793,3.1336469650268555,4.000705242156982,0.09680833826603541,0.10079383850097656,0.10710130020953113,0.2971076965332031,0.0708763599395752,-0.613072395324707,5.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.8021260774363683,4.012147903442383,5.009412318516625,3.668718099594116,3.786327600479126,4.528004169464111,0.6088653814766047,0.631056547164917,0.5748139592921779,0.56850266456604,0.7235569953918457,-0.08577346801757812,3.0
gru,7,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2561162286331458,3.4684295654296875,4.4980648952944335,3.101956605911255,3.157658576965332,4.708649635314941,0.06285553267338218,0.08733820915222168,0.06346653606998665,0.001741170883178711,0.09488797187805176,0.09487199783325195,6.0
attention,7,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,41.62951031799173,41.75333786010742,42.76715613673671,50.782493591308594,39.03081130981445,20.0087947845459,38.45935822831785,38.38111996650696,38.35846590518278,47.76519060134888,35.954850912094116,15.424699783325195,1.0
attention,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.17101455851471,3.372990131378174,4.407388514766791,3.0130488872528076,3.076479434967041,4.6107892990112305,0.0008624688408325198,0.0007722377777099609,-0.0013017167871387514,-0.00425410270690918,0.0005190372467041016,0.026694297790527344,6.0
attention,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.278293304452315,3.4987196922302246,4.535107206957689,2.913783073425293,3.163137674331665,5.8125104904174805,0.10814121477843752,0.12650179862976074,0.1264169754037594,-0.10351991653442383,0.08717727661132812,1.2284154891967773,2.0
attention,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1723694808607106,3.377143383026123,4.408069638000553,3.0123507976531982,3.075246810913086,4.64125394821167,0.002217391186833062,0.00492548942565918,-0.0006205935533767359,-0.004952192306518555,-0.0007135868072509766,0.0571589469909668,5.0
attention,7,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1799453413392724,3.3823976516723633,4.411628179278081,2.9852850437164307,3.0872788429260254,4.771822452545166,0.009793251665394909,0.010179758071899414,0.0029379477241509022,-0.03201794624328613,0.011318445205688477,0.1877274513244629,4.0
attention,7,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1830570438347845,3.3904035091400146,4.415334722902611,2.9747092723846436,3.092719554901123,4.8191819190979,0.012904954160906978,0.01818561553955078,0.006644491348681392,-0.04259371757507324,0.016759157180786133,0.23508691787719727,3.0
