epoch,train_loss,validation_loss,validation_pooled_mae,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,18.35053298222996,3.20961124279337,3.676408205167804,3.8445209040674593,13.090099399999872,2.2213203999999678,0.001
2,3.0769894297181803,2.8009123296745506,3.260602560131773,3.4911574116106503,14.217039600000135,2.4061695999998847,0.001
3,2.8762059954251447,2.7495120782949565,3.2075601291846803,3.426010173498197,15.061295799999698,2.7652013000001716,0.001
4,2.8526981146088026,2.7337119018741864,3.189901481898881,3.3719423889921107,13.55888189999996,2.285101399999803,0.001
5,2.838469649182979,2.7211742345149674,3.1759923615216623,3.3705227160378177,12.517028999999638,3.691475999999966,0.001
6,2.8075267374384953,2.74219754856368,3.1968924547811812,3.404205991754822,15.605068800000026,2.3759949000000233,0.001
7,2.821165830242524,2.7312999242963274,3.1874471949445122,3.373923051321969,16.329655799999728,2.485772099999849,0.001
8,2.8190980885765997,2.732194794415168,3.1882790894502206,3.3853377000816143,15.161465600000156,2.2822069000003466,0.001
9,2.7743119984556155,2.775400585377632,3.233310658602329,3.4635038215030893,15.132051800000227,2.665943200000129,0.001
10,2.7706358988162845,2.7757752545633596,3.233921290591424,3.4612293888288694,13.951261000000159,2.2214583999998467,0.001
11,2.760617535567308,2.766485190276795,3.2230490594839933,3.4039704362525973,22.448031100000208,7.541808800000126,0.001
12,2.774391104201078,2.763393646983113,3.220660038433216,3.394284567617883,32.65211219999992,2.604122499999903,0.001
13,2.7717393127517735,2.8120301401465415,3.270123258416733,3.45828859122686,21.466637199999695,4.244680400000107,0.001
